ID,ISBN,URL,Автор,В наличии,"Вес, г",Возраст,Возрастные ограничения,Герои,Год издания,Жанр,Издательство,Изображение,Иллюстратор,Категория,Количество страниц,Материал,Название,Назначение,Направление,Обложка,Описание,Оценка,Пол,Превью,Раздел,"Размер, см",Рисунок,Серия,Страна-производитель,Тематика,Тип,Упаковка,Формат,Цена,Цена (старая),Число отзывов,Число оценок,Эпоха,Язык
000033,978-5-389-03203-3,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/poeziya/000033-mnogo-shuma-iz-nichego,Уильям Шекспир,False,,,,,2015,,Азбука,https://www.respublica.ru/uploads/00/00/00/cq/mq/fullscreen_19d8718b2a61bce7.jpg,,Книги; Художественная литература; Поэзия,224,,Много шума из ничего,,,Мягкая,"В настоящем издании под одной обложкой объединены две ""счастливые"" комедии великого английского драматурга Уильяма Шекспира - ""Много шума из ничего"" и ""Как вам это понравится"". В них, как и во всех комедиях Шекспира, царит дух поэзии, царит дух любви. Непревзойденный мастер лиризма, в своих произведениях Шекспир изобразил не только красоту любви, но и комизм поведения влюбленных. В предлагаемых вниманию читателя комедиях много фарсовых эпизодов, шутовских, игровых, но самое интересное в них - изображение причуд человеческого сердца, того, что можно назвать странностями любви. Надеемся, что прелесть шекспировского стиха и изящество его остроумной прозы не оставит читателя равнодушным и на этот раз.",,,,Зарубежные,,,,Россия,,,,11 х 18,100,140.0,,,,Русский
021678,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021678-n-or-m,Agatha Christie,False,,,,,2001,Детектив,HarperCollins,https://www.respublica.ru/uploads/00/00/00/68/ww/fullscreen_ede2374287dabb51.jpg,,Книги; Художественная литература; Книги на иностранных языках,304,,N or M?,,,Мягкая,,,,,Зарубежные,,,,,,,,10 х 17,610,,,,,Английский
021706,978-0-00-711932-5,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021706-death-on-the-nile,Agatha Christie,False,,,,,2001,Детектив,HarperCollins,https://www.respublica.ru/uploads/01/00/00/60/0t/fullscreen_65a98bc17133d68c.jpg,,Книги; Художественная литература; Книги на иностранных языках,416,,Death on the Nile,,,Мягкая,,,,,Зарубежные,,,Poirot,,,,,11 х 17,490,,,,,Английский
021754,978-0-00-712112-0,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021754-curtain,Agatha Christie,False,,,,,2002,Детектив,HarperCollins,https://www.respublica.ru/uploads/00/00/00/69/ig/fullscreen_1db08ea559112b07.jpg,,Книги; Художественная литература; Книги на иностранных языках,224,,Curtain,,,Мягкая,,,,,Зарубежные,,,,,,,,11 х 18,490,,,,,Английский
026720,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/026720-black-snow,Михаил Афанасьевич Булгаков,True,200,,,,,,Альпина Паблишер,https://www.respublica.ru/uploads/00/00/00/0m/rs/fullscreen_b52617386b97f648.jpg,,Книги; Художественная литература; Книги на иностранных языках,,,Black Snow,,,,"When Maxudov's bid to take his own life fails, he dramatises the novel whose failure provoked the suicide attempt. To the resentment of literary Moscow, his play is accepted by the legendary Independent Theatre and Maxudov plunges into a vortex of inflated egos. With each rehearsal more sparks fly and the chances of the play being ready to perform recede. ""Black Snow"" is the ultimate back-stage novel and a brilliant satire by the author of ""The Master and Margarita"" on his ten-year love-hate relationship with Stanislavsky, Method-acting and the Moscow Arts Theatre.",,,,,,,,Россия,,,,,960,,,,,
031483,978-5-17-033698-2,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/fantastika-i-fentezi/031483-koldun-i-kristall,Стивен Кинг,False,,,,,2016,,АСТ,https://www.respublica.ru/uploads/00/00/00/3q/7i/fullscreen_25bfd4e3630e3461.jpg,,Книги; Художественная литература; Фантастика и фэнтези,704,,Колдун и кристалл,,Мистика,Твердая,,,,https://www.respublica.ru/items/52162/download_preview_pdf,Зарубежные,,,Темная башня,Россия,,,,13 x 20,570,,,,,Русский
042881,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/fantastika-i-fentezi/042881-posoh-i-shlyapa,Терри Пратчетт,False,,,,,2017,,Эксмо,https://www.respublica.ru/uploads/00/00/00/6d/y6/fullscreen_8288145dee1a564f.jpg,,Книги; Художественная литература; Фантастика и фэнтези,384,,Посох и шляпа,,Фэнтези,Твердая,,5.0,,https://www.respublica.ru/items/6339/download_preview_pdf,Зарубежные,,,Терри пратчетт,Россия,,,,13 x 20,490,,1.0,1.0,,Русский
123389,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/klassicheskaya-literatura/123389-voyna-i-mir-tom-iii-iv,Лев Николаевич Толстой,True,721,,16+,,2017,,Эксмо,https://www.respublica.ru/uploads/00/00/00/4y/3q/fullscreen_d4d14e56f5b9ecca.jpg,,Книги; Художественная литература; Классическая литература,928,,Война и мир.Том III-IV,,,Суперобложка,"«Война и мир», самый известный роман Л.Н. Толстого, как никакое другое произведение писателя, отражает глубину его мироощущения и философии. Эта книга из разряда вечных — в ней раскрыты основные составляющие человеческого бытия: жизнь и смерть, любовь и измена, подвиг и малодушие, война и мир.",,,https://www.respublica.ru/items/16394/download_preview_pdf,Отечественные,,,Библиотека всемирной литературы,Россия,,,,13 x 20,360,540.0,,,,Русский
132520,,https://www.respublica.ru/detyam/detskie-knigi/hudozhestvennaya-literatura/132520-priklyucheniya-neznayki-i-ego-druzey,Носов Николай Николаевич,False,,8+,,,2015,Приключения,Махаон,https://www.respublica.ru/uploads/01/00/00/2k/t9/fullscreen_80f801b7d40f5098.jpg,Ольга Зобнина,Детям; Детские книги; Художественная литература,192,,Приключения Незнайки и его друзей,,,Твердая,"Незнайка продолжает увлекать своими выходками, приключениями и забавами, дружить и шутить с оравой веселых и шумных коротышек… В этой книге вы узнаете, как Незнайка дрессировал лягушек, как ""заболел"" акварельной ветрянкой и как был футболистом. А еще Незнайка поведает о множестве ""ненаучных методов"", ""сюрпризе"" и ""земляничном обмане"".",,,,Отечественные,,,,,,,,20 х 24,380,390.0,,,,Русский
340985,,https://www.respublica.ru/dom/interier-i-uyut/kartiny-plakaty-i-karty/340985-poster-tiger-a1,Lora Zombie,False,,,,,,,,https://www.respublica.ru/uploads/01/00/00/11/kl/fullscreen_4beb52420e44c441.jpg,,"Дом; Интерьер и уют; Картины, плакаты и карты",,,"Постер ""Tiger"" А1",,,,,,,,,,,,,,Постер,,А1,2565,,,,,
