ID,ISBN,Автор,В наличии,"Вес, г",Вид бумаги,Возраст,Возрастные ограничения,Герои,Год издания,Жанр,Издательство,Изображение,Иллюстратор,Иллюстрации,Категория,Количество страниц,Материал,Название,Назначение,Направление,Обложка,Описание,Оценка,Пол,Превью,Раздел,"Размер, см",Рисунок,Серия,Страна-производитель,Тематика,Тип,Упаковка,Формат,Цена,Цена (старая),Число отзывов,Число оценок,Эпоха,Язык
000033,978-5-389-03203-3,Уильям Шекспир,False,,,,,,2015,,Азбука,https://www.respublica.ru/uploads/00/00/00/cq/mq/large_19d8718b2a61bce7.jpg,,,Книги; Художественная литература; Поэзия,224,,Много шума из ничего,,,Мягкая,"В настоящем издании под одной обложкой объединены две ""счастливые"" комедии великого английского драматурга Уильяма Шекспира - ""Много шума из ничего"" и ""Как вам это понравится"". В них, как и во всех комедиях Шекспира, царит дух поэзии, царит дух любви. Непревзойденный мастер лиризма, в своих произведениях Шекспир изобразил не только красоту любви, но и комизм поведения влюбленных. В предлагаемых вниманию читателя комедиях много фарсовых эпизодов, шутовских, игровых, но самое интересное в них - изображение причуд человеческого сердца, того, что можно назвать странностями любви. Надеемся, что прелесть шекспировского стиха и изящество его остроумной прозы не оставит читателя равнодушным и на этот раз.",,,,Зарубежные,,,,Россия,,,,11 х 18,100,140,,,,Русский
000056,978-5-389-03202-6,Уильям Шекспир,False,,,,,,2011,,Азбука,https://www.respublica.ru/uploads/01/00/00/24/fh/large_76d8994b05836531.jpg,,,Книги; Художественная литература; Поэзия,192,,Двенадцатая ночь,,,Мягкая,"Перу великого английского драматурга Уильяма Шекспира принадлежит более десяти комедий. «Укрощение строптивой», «Сон в летнюю ночь», «Много шума из ничего», «Венецианский купец» — лишь часть из них. Сюжеты шекспировских комедий различны, но есть в них нечто общее — безудержное веселье, перемежающееся иногда и грустью, и незаурядные герои, которых роднит воля, острый ум, стремление к независимости и сокрушающее жизнелюбие. В настоящем издании представлена одна из самых жизнерадостных комедий Шекспира — «Двенадцатая ночь», комедия, которую правильнее было бы назвать романтической сказкой о прекрасной стране Иллирии, стране любви и веселых шуток, в которой любой ищущий любви непременно ее находит, хотя и не всегда там, где искал.",,,,Зарубежные,,,,Россия,,,,11 х 18,100,140,,,,Русский
021678,,Agatha Christie,False,,,,,,2001,Детектив,HarperCollins,https://www.respublica.ru/uploads/00/00/00/68/ww/large_ede2374287dabb51.jpg,,,Книги; Художественная литература; Книги на иностранных языках,304,,N or M?,,,Мягкая,,,,,Зарубежные,,,,США,,,,10 х 17,610,,,,,Английский
021679,,Agatha Christie,False,,,,,,2011,Детектив,HarperCollins,https://www.respublica.ru/uploads/00/00/00/68/x0/large_8be7c66991959813.jpg,,,Книги; Художественная литература; Книги на иностранных языках,400,,The Secret Adversary,,,Мягкая,,,,,Зарубежные,,,,США,,,,11 х 17,610,,,,,Английский
021680,,Agatha Christie,False,,,,,,2011,Детектив,HarperCollins,https://www.respublica.ru/uploads/01/00/00/68/wz/large_cc50d697c6b16407.jpg,,,Книги; Художественная литература; Книги на иностранных языках,352,,By the Pricking of My Thumbs,,,Мягкая,,,,,Зарубежные,,,,США,,,,11 х 17,510,610,,,,Английский
021681,,Agatha Christie,False,,,,,,2001,Детектив,HarperCollins,https://www.respublica.ru/uploads/00/00/00/68/wy/large_2865e5cab83dae29.jpg,,,Книги; Художественная литература; Книги на иностранных языках,352,,Partners in Crime,,,Мягкая,,,,,Зарубежные,,,,США,,,,11 х 17,610,,,,,Английский
021700,,Agatha Christie,False,,,,,,,,,https://www.respublica.ru/uploads/00/00/00/0p/48/large_8b7da3d133d0c739.jpg,,,Книги; Художественная литература; Книги на иностранных языках,,,Evil Under the Sun,,,,"
",,,,,,,,,,,,,540,,,,,
021702,,Agatha Christie,False,,,,,,2017,,HarperCollins,https://www.respublica.ru/uploads/01/00/00/68/x5/large_8bc241547886091e.jpg,,,Книги; Художественная литература; Книги на иностранных языках,288,,The Murder on the Links,,,Мягкая,,,,,,,,,США,,,,13 x 20,639,,,,,
021703,,Agatha Christie,False,,,,,,2010,Детектив,HarperCollins,https://www.respublica.ru/uploads/01/00/00/5d/db/large_6b10163ea6522dc3.jpg,,,Книги; Художественная литература; Книги на иностранных языках,278,,The ABC Murders,,,Мягкая,,,,,Зарубежные,,,,США,,,,11 х 17,610,,,,,Английский
